model,energy_mev,n,rmse_pct_mean,rmse_pct_std,gamma_pass_pct_mean,gamma_pass_pct_std,distal_edge_error_mm_mean,distal_edge_error_mm_std,peak_depth_cm_mean,peak_depth_cm_std
braggtransporter_v0,135,40.0,1.0009949333108152,0.39878275256690743,95.97710067161475,2.2629095963627117,0.10447541984914147,0.1946785795838321,13.555000000000001,1.3201231003205727
braggtransporter_v0,175,40.0,1.3247934289711183,1.0219504308300698,95.65813700530586,3.779262309975639,0.1875136041291256,0.24509575532412475,21.337500000000002,1.681545048459898
braggtransporter_v0,205,40.0,1.2770560975052547,0.31646365034092294,95.33658003101719,3.2901548478944607,0.2655017739470793,0.25607671708336355,27.982499999999998,1.8201150375731747
braggtransporter_v0,95,40.0,0.9612609295590172,0.20814978271211831,94.57398072167283,1.3659723711914218,0.1292866578035996,0.076376489830712,7.291250000000001,0.8594611320472847
braggtransporter_v0,aggregate,160.0,1.1410263473365514,0.6023049012782131,95.38644960740267,2.8800980138554664,0.1716943639322365,0.21491115046372905,17.5415625,7.953076688212793
fno1d,135,40.0,1.0627369675693292,0.683586698351102,92.58678359766053,15.688141526390888,0.16350608259599717,0.09472851113120222,13.5725,1.3075716997549311
fno1d,175,40.0,2.0712655659577175,3.4784322330883617,83.43925317024903,30.117384361778335,0.17216115925635195,0.22749835226792425,21.4175,1.7332249565477647
fno1d,205,40.0,1.1413812120257207,0.3937461267833757,95.58480255672733,5.86687437226583,0.1561913044279059,0.10535757803451977,27.889999999999997,1.81463494951464
fno1d,95,40.0,0.8596971064194927,0.14013754396701264,94.03219977597139,2.1067206285134823,0.1341093334523748,0.0543788594663491,7.2475,0.8557854579273944
fno1d,aggregate,160.0,1.283770212993065,1.8446255291911942,91.41075977515206,17.89731573768222,0.15649196993315745,0.137460962456606,17.531875,7.9462717034075165
mamba1d,135,40.0,19.771211292030607,0.9477447533627976,0.0,0.0,1.2407022074764391,4.157547183434318,13.25375,2.4720155617430892
mamba1d,175,40.0,24.28443794250966,2.170913378343337,0.0,0.0,0.7469454008815191,2.848447430349952,21.16875,1.7456799355838404
mamba1d,205,40.0,26.820270844714607,0.4298310831918384,0.0,0.0,1.2686449517360507,0.054460284159055655,27.858749999999997,1.8397142271287679
mamba1d,95,40.0,14.981370650752151,0.3366200992623231,0.0,0.0,0.8304151032386823,3.6882121158331067,7.108750000000001,1.3911051137494967
mamba1d,aggregate,160.0,21.464322682501752,4.675566192656568,0.0,0.0,1.0216769158331729,3.1315231779151973,17.3475,8.080177906457259
