=== SEED 1 ===
 braggtransporter_v0 epoch 001 train_loss=189.436 val_loss=186.912
 braggtransporter_v0 epoch 002 train_loss=182.214 val_loss=182.102
 braggtransporter_v0 epoch 003 train_loss=175.702 val_loss=173.928
 braggtransporter_v0 epoch 004 train_loss=167.614 val_loss=163.713
 braggtransporter_v0 epoch 005 train_loss=157.255 val_loss=150.189
 braggtransporter_v0 epoch 006 train_loss=144.574 val_loss=136.025
 braggtransporter_v0 epoch 007 train_loss=130.946 val_loss=120.204
 braggtransporter_v0 epoch 008 train_loss=116.391 val_loss=106.43
 braggtransporter_v0 epoch 009 train_loss=101.261 val_loss=93.2216
 braggtransporter_v0 epoch 010 train_loss=87.9574 val_loss=83.3589
 braggtransporter_v0 epoch 011 train_loss=77.1299 val_loss=75.858
 braggtransporter_v0 epoch 012 train_loss=68.2928 val_loss=65.9447
 braggtransporter_v0 epoch 013 train_loss=57.9538 val_loss=54.7306
 braggtransporter_v0 epoch 014 train_loss=49.1317 val_loss=48.0687
 braggtransporter_v0 epoch 015 train_loss=43.6948 val_loss=44.1158
 braggtransporter_v0 epoch 016 train_loss=39.7158 val_loss=41.0052
 braggtransporter_v0 epoch 017 train_loss=35.7754 val_loss=37.4282
 braggtransporter_v0 epoch 018 train_loss=32.4222 val_loss=34.2483
 braggtransporter_v0 epoch 019 train_loss=29.1554 val_loss=31.7334
 braggtransporter_v0 epoch 020 train_loss=26.5978 val_loss=29.386
 braggtransporter_v0 epoch 021 train_loss=24.4678 val_loss=27.7387
 braggtransporter_v0 epoch 022 train_loss=22.4859 val_loss=26.4071
 braggtransporter_v0 epoch 023 train_loss=20.9087 val_loss=24.6973
 braggtransporter_v0 epoch 024 train_loss=19.6651 val_loss=23.683
 braggtransporter_v0 epoch 025 train_loss=18.6826 val_loss=22.9073
 braggtransporter_v0 epoch 026 train_loss=17.946 val_loss=22.3448
 braggtransporter_v0 epoch 027 train_loss=17.485 val_loss=22.0313
 braggtransporter_v0 epoch 028 train_loss=17.2372 val_loss=21.8713
 braggtransporter_v0 epoch 029 train_loss=17.0569 val_loss=21.8037
 braggtransporter_v0 epoch 030 train_loss=17.0474 val_loss=21.79
               fno1d epoch 001 train_loss=200.726 val_loss=207.339
               fno1d epoch 002 train_loss=193.053 val_loss=196.307
               fno1d epoch 003 train_loss=179.718 val_loss=180.595
               fno1d epoch 004 train_loss=164.009 val_loss=163.948
               fno1d epoch 005 train_loss=147.601 val_loss=148.147
               fno1d epoch 006 train_loss=132.743 val_loss=133.754
               fno1d epoch 007 train_loss=119.427 val_loss=120.813
               fno1d epoch 008 train_loss=107.572 val_loss=109.46
               fno1d epoch 009 train_loss=97.5506 val_loss=99.514
               fno1d epoch 010 train_loss=88.8123 val_loss=90.8539
               fno1d epoch 011 train_loss=80.9273 val_loss=83.2215
               fno1d epoch 012 train_loss=74.135 val_loss=76.6408
               fno1d epoch 013 train_loss=68.1375 val_loss=70.9116
               fno1d epoch 014 train_loss=62.9328 val_loss=65.9937
               fno1d epoch 015 train_loss=58.1597 val_loss=61.5853
               fno1d epoch 016 train_loss=54.2037 val_loss=57.8156
               fno1d epoch 017 train_loss=50.8129 val_loss=54.7509
               fno1d epoch 018 train_loss=47.7481 val_loss=52.097
               fno1d epoch 019 train_loss=45.2129 val_loss=49.7567
               fno1d epoch 020 train_loss=42.8272 val_loss=47.6301
               fno1d epoch 021 train_loss=41.0662 val_loss=45.9604
               fno1d epoch 022 train_loss=39.4166 val_loss=44.6252
               fno1d epoch 023 train_loss=38.2059 val_loss=43.5188
               fno1d epoch 024 train_loss=37.1444 val_loss=42.6943
               fno1d epoch 025 train_loss=36.558 val_loss=42.0579
               fno1d epoch 026 train_loss=35.9221 val_loss=41.6277
               fno1d epoch 027 train_loss=35.5733 val_loss=41.3765
               fno1d epoch 028 train_loss=35.3684 val_loss=41.2358
               fno1d epoch 029 train_loss=35.2967 val_loss=41.1835
               fno1d epoch 030 train_loss=35.2667 val_loss=41.174
              conv1d epoch 001 train_loss=172.992 val_loss=120.323
              conv1d epoch 002 train_loss=80.1773 val_loss=49.513
              conv1d epoch 003 train_loss=35.0228 val_loss=29.118
              conv1d epoch 004 train_loss=21.0022 val_loss=23.8141
              conv1d epoch 005 train_loss=15.1127 val_loss=19.3142
              conv1d epoch 006 train_loss=13.6845 val_loss=16.4095
              conv1d epoch 007 train_loss=12.4047 val_loss=16.0706
              conv1d epoch 008 train_loss=11.3504 val_loss=17.1155
              conv1d epoch 009 train_loss=10.488 val_loss=13.3794
              conv1d epoch 010 train_loss=9.22165 val_loss=11.1618
              conv1d epoch 011 train_loss=7.91324 val_loss=10.106
              conv1d epoch 012 train_loss=6.67981 val_loss=7.65579
              conv1d epoch 013 train_loss=5.0213 val_loss=5.46427
              conv1d epoch 014 train_loss=4.06588 val_loss=4.52066
              conv1d epoch 015 train_loss=3.66683 val_loss=4.28852
              conv1d epoch 016 train_loss=3.37173 val_loss=4.18419
              conv1d epoch 017 train_loss=3.09029 val_loss=3.15473
              conv1d epoch 018 train_loss=3.29106 val_loss=3.3633
              conv1d epoch 019 train_loss=3.56908 val_loss=2.68684
              conv1d epoch 020 train_loss=3.02764 val_loss=3.4252
              conv1d epoch 021 train_loss=2.65726 val_loss=2.54374
              conv1d epoch 022 train_loss=2.4322 val_loss=2.68535
              conv1d epoch 023 train_loss=2.36677 val_loss=2.64002
              conv1d epoch 024 train_loss=2.27558 val_loss=2.50849
              conv1d epoch 025 train_loss=2.22649 val_loss=2.48935
              conv1d epoch 026 train_loss=2.18532 val_loss=2.46005
              conv1d epoch 027 train_loss=2.15808 val_loss=2.47938
              conv1d epoch 028 train_loss=2.14519 val_loss=2.46117
              conv1d epoch 029 train_loss=2.14971 val_loss=2.45794
              conv1d epoch 030 train_loss=2.13941 val_loss=2.44846
Sharp held-out distal-edge ranking
rank                model     params      gap%    edge_mm      g1/1%      g2/2%
   1               conv1d     958163      1.53      0.250      84.84      95.39
   2  braggtransporter_v0     943765      0.00      0.582      39.06      75.57
   3                fno1d     929691     -1.49      0.684       0.14       2.82
Conclusion: no significant transformer-vs-FNO sharp-edge win; paired v0 reduction is 0.101 mm (95% CI -0.039..0.238, sign-flip p=0.1717).
=== SEED 2 ===
 braggtransporter_v0 epoch 001 train_loss=190.201 val_loss=186.176
 braggtransporter_v0 epoch 002 train_loss=181.613 val_loss=181.249
 braggtransporter_v0 epoch 003 train_loss=173.54 val_loss=170.4
 braggtransporter_v0 epoch 004 train_loss=162.761 val_loss=156.379
 braggtransporter_v0 epoch 005 train_loss=148.858 val_loss=140.497
 braggtransporter_v0 epoch 006 train_loss=133.36 val_loss=123.056
 braggtransporter_v0 epoch 007 train_loss=117.257 val_loss=107.193
 braggtransporter_v0 epoch 008 train_loss=100.874 val_loss=93.1283
 braggtransporter_v0 epoch 009 train_loss=86.6697 val_loss=82.8521
 braggtransporter_v0 epoch 010 train_loss=76.0602 val_loss=76.6904
 braggtransporter_v0 epoch 011 train_loss=67.8413 val_loss=68.919
 braggtransporter_v0 epoch 012 train_loss=59.0481 val_loss=55.3882
 braggtransporter_v0 epoch 013 train_loss=48.9353 val_loss=52.8828
 braggtransporter_v0 epoch 014 train_loss=42.2611 val_loss=43.6316
 braggtransporter_v0 epoch 015 train_loss=37.7176 val_loss=39.5956
 braggtransporter_v0 epoch 016 train_loss=33.6906 val_loss=36.6962
 braggtransporter_v0 epoch 017 train_loss=29.6251 val_loss=33.4912
 braggtransporter_v0 epoch 018 train_loss=26.6378 val_loss=30.7528
 braggtransporter_v0 epoch 019 train_loss=23.6929 val_loss=28.4933
 braggtransporter_v0 epoch 020 train_loss=21.1033 val_loss=26.4773
 braggtransporter_v0 epoch 021 train_loss=18.845 val_loss=24.4773
 braggtransporter_v0 epoch 022 train_loss=16.8964 val_loss=23.1284
 braggtransporter_v0 epoch 023 train_loss=15.4751 val_loss=21.7893
 braggtransporter_v0 epoch 024 train_loss=14.4385 val_loss=20.7008
 braggtransporter_v0 epoch 025 train_loss=13.6307 val_loss=19.8732
 braggtransporter_v0 epoch 026 train_loss=13.1465 val_loss=19.3686
 braggtransporter_v0 epoch 027 train_loss=12.8149 val_loss=19.0485
 braggtransporter_v0 epoch 028 train_loss=12.5372 val_loss=18.8875
 braggtransporter_v0 epoch 029 train_loss=12.4822 val_loss=18.8211
 braggtransporter_v0 epoch 030 train_loss=12.4914 val_loss=18.81
               fno1d epoch 001 train_loss=195.587 val_loss=194.824
               fno1d epoch 002 train_loss=174.733 val_loss=171.016
               fno1d epoch 003 train_loss=152.14 val_loss=150.987
               fno1d epoch 004 train_loss=134.546 val_loss=134.717
               fno1d epoch 005 train_loss=119.929 val_loss=121.016
               fno1d epoch 006 train_loss=107.677 val_loss=108.84
               fno1d epoch 007 train_loss=97.2051 val_loss=98.1156
               fno1d epoch 008 train_loss=87.755 val_loss=88.73
               fno1d epoch 009 train_loss=79.8695 val_loss=80.4283
               fno1d epoch 010 train_loss=72.2318 val_loss=73.2992
               fno1d epoch 011 train_loss=65.7088 val_loss=67.2424
               fno1d epoch 012 train_loss=59.9575 val_loss=61.9618
               fno1d epoch 013 train_loss=54.5083 val_loss=57.1761
               fno1d epoch 014 train_loss=49.9023 val_loss=53.1007
               fno1d epoch 015 train_loss=45.7545 val_loss=49.3781
               fno1d epoch 016 train_loss=42.163 val_loss=46.0995
               fno1d epoch 017 train_loss=38.8561 val_loss=43.2693
               fno1d epoch 018 train_loss=36.0313 val_loss=40.8183
               fno1d epoch 019 train_loss=33.5209 val_loss=38.4983
               fno1d epoch 020 train_loss=31.3618 val_loss=36.5869
               fno1d epoch 021 train_loss=29.5001 val_loss=34.9789
               fno1d epoch 022 train_loss=27.9865 val_loss=33.7471
               fno1d epoch 023 train_loss=26.7171 val_loss=32.6977
               fno1d epoch 024 train_loss=25.8039 val_loss=31.9471
               fno1d epoch 025 train_loss=25.1997 val_loss=31.3659
               fno1d epoch 026 train_loss=24.6613 val_loss=30.9402
               fno1d epoch 027 train_loss=24.2913 val_loss=30.6875
               fno1d epoch 028 train_loss=24.0211 val_loss=30.56
               fno1d epoch 029 train_loss=23.9528 val_loss=30.5102
               fno1d epoch 030 train_loss=23.9524 val_loss=30.5015
              conv1d epoch 001 train_loss=175.419 val_loss=125.93
              conv1d epoch 002 train_loss=86.2226 val_loss=55.0178
              conv1d epoch 003 train_loss=37.7371 val_loss=30.4291
              conv1d epoch 004 train_loss=22.1608 val_loss=23.4262
              conv1d epoch 005 train_loss=15.6176 val_loss=20.0937
              conv1d epoch 006 train_loss=13.2294 val_loss=17.3185
              conv1d epoch 007 train_loss=13.0536 val_loss=15.7902
              conv1d epoch 008 train_loss=11.1851 val_loss=15.9498
              conv1d epoch 009 train_loss=10.9067 val_loss=14.0922
              conv1d epoch 010 train_loss=9.5947 val_loss=13.2372
              conv1d epoch 011 train_loss=8.76679 val_loss=11.4405
              conv1d epoch 012 train_loss=7.66275 val_loss=9.46785
              conv1d epoch 013 train_loss=6.32433 val_loss=7.35435
              conv1d epoch 014 train_loss=5.22876 val_loss=5.53024
              conv1d epoch 015 train_loss=4.60625 val_loss=5.07996
              conv1d epoch 016 train_loss=4.43395 val_loss=4.17342
              conv1d epoch 017 train_loss=3.83648 val_loss=4.37732
              conv1d epoch 018 train_loss=3.39189 val_loss=4.07634
              conv1d epoch 019 train_loss=3.12006 val_loss=3.75321
              conv1d epoch 020 train_loss=2.95717 val_loss=3.28475
              conv1d epoch 021 train_loss=2.76894 val_loss=3.13237
              conv1d epoch 022 train_loss=2.66832 val_loss=2.89092
              conv1d epoch 023 train_loss=2.55199 val_loss=2.88217
              conv1d epoch 024 train_loss=2.51347 val_loss=2.55545
              conv1d epoch 025 train_loss=2.43308 val_loss=2.71772
              conv1d epoch 026 train_loss=2.41563 val_loss=2.44703
              conv1d epoch 027 train_loss=2.38617 val_loss=2.53828
              conv1d epoch 028 train_loss=2.35139 val_loss=2.44879
              conv1d epoch 029 train_loss=2.34828 val_loss=2.43624
              conv1d epoch 030 train_loss=2.34066 val_loss=2.43378
Sharp held-out distal-edge ranking
rank                model     params      gap%    edge_mm      g1/1%      g2/2%
   1               conv1d     958163      1.53      0.257      77.72      94.00
   2                fno1d     929691     -1.49      0.491       1.50       7.08
   3  braggtransporter_v0     943765      0.00      0.773      64.17      85.97
Conclusion: FNO beats transformer on the sharp edge by 0.282 mm mean paired error reduction (95% CI -0.458..-0.115, sign-flip p=0.0029).
=== SEED 3 ===
 braggtransporter_v0 epoch 001 train_loss=189.153 val_loss=188.016
 braggtransporter_v0 epoch 002 train_loss=181.792 val_loss=180.567
 braggtransporter_v0 epoch 003 train_loss=174.859 val_loss=172.304
 braggtransporter_v0 epoch 004 train_loss=165.53 val_loss=159.534
 braggtransporter_v0 epoch 005 train_loss=153.077 val_loss=145.061
 braggtransporter_v0 epoch 006 train_loss=138.803 val_loss=129.099
 braggtransporter_v0 epoch 007 train_loss=124.056 val_loss=113.737
 braggtransporter_v0 epoch 008 train_loss=108.847 val_loss=99.8717
 braggtransporter_v0 epoch 009 train_loss=94.7888 val_loss=89.1381
 braggtransporter_v0 epoch 010 train_loss=82.9095 val_loss=82.2082
 braggtransporter_v0 epoch 011 train_loss=74.5237 val_loss=77.6054
 braggtransporter_v0 epoch 012 train_loss=68.3431 val_loss=70.2406
 braggtransporter_v0 epoch 013 train_loss=60.028 val_loss=57.3128
 braggtransporter_v0 epoch 014 train_loss=51.405 val_loss=53.2286
 braggtransporter_v0 epoch 015 train_loss=45.6596 val_loss=44.8109
 braggtransporter_v0 epoch 016 train_loss=41.2491 val_loss=41.8644
 braggtransporter_v0 epoch 017 train_loss=37.325 val_loss=38.9274
 braggtransporter_v0 epoch 018 train_loss=33.983 val_loss=36.0197
 braggtransporter_v0 epoch 019 train_loss=30.9175 val_loss=33.7527
 braggtransporter_v0 epoch 020 train_loss=28.4714 val_loss=32.0024
 braggtransporter_v0 epoch 021 train_loss=26.5708 val_loss=30.4234
 braggtransporter_v0 epoch 022 train_loss=24.7135 val_loss=29.0588
 braggtransporter_v0 epoch 023 train_loss=23.1179 val_loss=27.8677
 braggtransporter_v0 epoch 024 train_loss=21.9308 val_loss=26.9998
 braggtransporter_v0 epoch 025 train_loss=20.9166 val_loss=26.1918
 braggtransporter_v0 epoch 026 train_loss=20.2401 val_loss=25.6738
 braggtransporter_v0 epoch 027 train_loss=19.839 val_loss=25.4051
 braggtransporter_v0 epoch 028 train_loss=19.4764 val_loss=25.246
 braggtransporter_v0 epoch 029 train_loss=19.4543 val_loss=25.1723
 braggtransporter_v0 epoch 030 train_loss=19.2934 val_loss=25.1586
               fno1d epoch 001 train_loss=197.869 val_loss=195.905
               fno1d epoch 002 train_loss=175.352 val_loss=169.179
               fno1d epoch 003 train_loss=150.272 val_loss=147.648
               fno1d epoch 004 train_loss=130.64 val_loss=130.787
               fno1d epoch 005 train_loss=115.187 val_loss=117.206
               fno1d epoch 006 train_loss=103.004 val_loss=105.188
               fno1d epoch 007 train_loss=91.8698 val_loss=94.1864
               fno1d epoch 008 train_loss=82.5288 val_loss=84.4606
               fno1d epoch 009 train_loss=74.362 val_loss=76.039
               fno1d epoch 010 train_loss=66.9657 val_loss=68.7106
               fno1d epoch 011 train_loss=60.6145 val_loss=62.4706
               fno1d epoch 012 train_loss=54.8882 val_loss=57.2997
               fno1d epoch 013 train_loss=49.644 val_loss=52.829
               fno1d epoch 014 train_loss=45.1593 val_loss=49.1321
               fno1d epoch 015 train_loss=41.3868 val_loss=45.7437
               fno1d epoch 016 train_loss=38.037 val_loss=42.8136
               fno1d epoch 017 train_loss=34.9739 val_loss=39.9708
               fno1d epoch 018 train_loss=32.3876 val_loss=37.6389
               fno1d epoch 019 train_loss=29.9813 val_loss=35.412
               fno1d epoch 020 train_loss=27.9368 val_loss=33.5572
               fno1d epoch 021 train_loss=26.2061 val_loss=32.014
               fno1d epoch 022 train_loss=24.7666 val_loss=30.6971
               fno1d epoch 023 train_loss=23.5975 val_loss=29.5629
               fno1d epoch 024 train_loss=22.7333 val_loss=28.7289
               fno1d epoch 025 train_loss=22.0698 val_loss=28.1185
               fno1d epoch 026 train_loss=21.4772 val_loss=27.6846
               fno1d epoch 027 train_loss=21.2688 val_loss=27.4173
               fno1d epoch 028 train_loss=21.0542 val_loss=27.2842
               fno1d epoch 029 train_loss=20.968 val_loss=27.2271
               fno1d epoch 030 train_loss=20.8746 val_loss=27.2182
              conv1d epoch 001 train_loss=174.839 val_loss=124.443
              conv1d epoch 002 train_loss=81.9052 val_loss=48.8876
              conv1d epoch 003 train_loss=34.5884 val_loss=29.853
              conv1d epoch 004 train_loss=21.7899 val_loss=25.5398
              conv1d epoch 005 train_loss=16.5547 val_loss=22.56
              conv1d epoch 006 train_loss=13.9517 val_loss=17.5771
              conv1d epoch 007 train_loss=13.0799 val_loss=15.5139
              conv1d epoch 008 train_loss=11.6166 val_loss=15.8739
              conv1d epoch 009 train_loss=11.2696 val_loss=15.9379
              conv1d epoch 010 train_loss=10.1538 val_loss=13.4089
              conv1d epoch 011 train_loss=9.18768 val_loss=11.4399
              conv1d epoch 012 train_loss=8.13902 val_loss=10.0294
              conv1d epoch 013 train_loss=7.03352 val_loss=8.54336
              conv1d epoch 014 train_loss=5.81683 val_loss=6.75677
